DATAFLOW,REF_AREA,SEX,TIME_PERIOD,OBS_VALUE
STAT:DF_POP(1.0),SK,T,2020,6000000
STAT:DF_POP(1.0),SK,M,2020,2500000
STAT:DF_POP(1.0),SK,F,2020,2600000
STAT:DF_POP(1.0),SK,T,2021,5200000
STAT:DF_POP(1.0),SK,M,2021,2550000
STAT:DF_POP(1.0),SK,F,2021,2650000
STAT:DF_POP(1.0),SK,T,2022,5300000
STAT:DF_POP(1.0),SK,M,2022,2600000
STAT:DF_POP(1.0),SK,F,2022,2700000
STAT:DF_POP(1.0),SK,T,2023,5400000
STAT:DF_POP(1.0),SK,M,2023,2650000
STAT:DF_POP(1.0),SK,F,2023,2750000
STAT:DF_POP(1.0),SK,T,2024,5500000
STAT:DF_POP(1.0),SK,M,2024,2700000
STAT:DF_POP(1.0),SK,F,2024,2800000
STAT:DF_POP(1.0),YT,T,2021,4450000
STAT:DF_POP(1.0),YT,M,2021,2230000
STAT:DF_POP(1.0),YT,F,2021,2220000
STAT:DF_POP(1.0),YT,T,2022,4500000
STAT:DF_POP(1.0),YT,M,2022,2250000
STAT:DF_POP(1.0),YT,F,2022,2250000
STAT:DF_POP(1.0),YT,T,2023,4550000
STAT:DF_POP(1.0),YT,M,2023,2270000
STAT:DF_POP(1.0),YT,F,2023,2280000
STAT:DF_POP(1.0),YT,T,2024,4600000
STAT:DF_POP(1.0),YT,M,2024,2300000
STAT:DF_POP(1.0),YT,F,2024,2300000
